936,28,1041,26,1041,52,937,53
581,517,717,514,717,531,581,534
286,291,340,291,340,309,286,309
731,325,790,324,790,341,732,342
494,294,546,294,546,311,494,310
728,263,769,263,769,278,728,277
328,257,364,257,364,274,328,274
344,291,386,291,385,309,344,309
324,231,353,231,354,249,325,250
568,294,606,294,606,311,568,310
721,296,760,295,760,312,721,312
990,56,1024,57,1024,71,989,70
261,293,287,293,287,306,261,306
297,516,423,514,423,528,297,530
760,296,802,296,802,313,760,313
531,260,571,260,571,277,531,277
662,295,688,295,688,310,662,309
957,56,988,57,988,70,957,70
466,296,492,295,492,308,467,308
